回号,抽せん日,当選番号,ストレート,ボックス,セット（ストレート）,セット（ボックス）,ミニ,販売実績額
0232,1997/02/18,945,326,1349.0,382.0,2226.0,1820,250161600.0
0233,1997/02/21,065,290,1246.0,326.0,2665.0,1094,247259800.0
0234,1997/02/25,317,687,2325.0,829.0,3029.0,1480,260466000.0
0235,1997/02/28,582,534,2759.0,641.0,4088.0,1098,256631000.0
0236,1997/03/04,830,408,1438.0,542.0,2242.0,1234,255569400.0
0237,1997/03/07,648,400,1339.0,444.0,1828.0,969,252711600.0
0238,1997/03/11,414,609,861.0,778.0,1010.0,1353,251765000.0
0239,1997/03/14,741,580,3037.0,737.0,4757.0,1055,248762400.0
0240,1997/03/18,229,657,791.0,952.0,1000.0,1237,243153600.0
0241,1997/03/21,400,185,256.0,204.0,347.0,1933,219584200.0
0242,1997/03/25,066,309,465.0,270.0,695.0,867,231664400.0
0243,1997/03/28,608,280,1002.0,413.0,1552.0,609,233958400.0
0244,1997/04/01,140,352,2454.0,257.0,3343.0,728,239303200.0
0245,1997/04/04,827,337,1167.0,457.0,1999.0,1043,228053400.0
0246,1997/04/08,593,494,1855.0,621.0,3297.0,1009,222730800.0
0247,1997/04/11,537,368,2253.0,396.0,2922.0,828,216726800.0
0248,1997/04/15,193,397,1687.0,491.0,2756.0,510,227869000.0
0249,1997/04/18,624,432,2238.0,588.0,3058.0,1066,226421000.0
0250,1997/04/22,180,235,1379.0,331.0,2481.0,602,228102400.0
0251,1997/04/25,227,483,621.0,524.0,1062.0,1060,224247400.0
0252,1997/04/29,004,199,230.0,179.0,330.0,614,210227600.0
0253,1997/05/02,616,372,660.0,491.0,885.0,1183,233336000.0
0254,1997/05/06,238,367,1690.0,454.0,2796.0,980,216038200.0
0255,1997/05/09,770,424,558.0,338.0,691.0,1122,217578200.0
0256,1997/05/13,088,307,538.0,315.0,744.0,1091,221629800.0
0257,1997/05/16,935,363,1368.0,476.0,2170.0,902,217392000.0
0258,1997/05/20,447,430,483.0,504.0,663.0,900,214233200.0
0259,1997/05/23,216,521,1993.0,744.0,2979.0,895,215143000.0
0260,1997/05/27,061,167,1266.0,270.0,2087.0,739,220455800.0
0261,1997/05/30,596,293,987.0,464.0,1710.0,1281,217541400.0
0262,1997/06/03,042,227,1357.0,241.0,2084.0,789,221754200.0
0263,1997/06/06,839,348,1212.0,633.0,2049.0,1300,219513200.0
0264,1997/06/10,362,379,1708.0,387.0,2723.0,675,208760200.0
0265,1997/06/13,928,484,1368.0,596.0,2423.0,1141,209480600.0
0266,1997/06/17,972,157,1234.0,243.0,2182.0,854,208428400.0
0267,1997/06/20,093,197,957.0,281.0,1659.0,687,193816800.0
0268,1997/06/24,024,350,1261.0,384.0,1735.0,1370,217208800.0
0269,1997/06/27,782,221,1278.0,328.0,2210.0,920,219947800.0
0270,1997/07/01,793,288,1279.0,375.0,1986.0,779,231586000.0
0271,1997/07/04,823,486,1904.0,610.0,2744.0,1175,222907000.0
0272,1997/07/08,783,314,1285.0,384.0,2238.0,888,216840800.0
0273,1997/07/11,526,451,1418.0,615.0,2284.0,1095,216766600.0
0274,1997/07/15,854,241,1091.0,361.0,1942.0,1239,221227600.0
0275,1997/07/18,806,191,906.0,298.0,1413.0,783,218231600.0
0276,1997/07/22,385,425,1739.0,565.0,2661.0,666,206343400.0
0277,1997/07/25,632,276,1754.0,362.0,2917.0,855,207712000.0
0278,1997/07/29,877,222,286.0,194.0,624.0,1021,217212000.0
0279,1997/08/01,891,298,1649.0,412.0,3243.0,827,211360800.0
0280,1997/08/05,326,707,1705.0,693.0,2142.0,1235,207223400.0
0281,1997/08/08,907,223,915.0,362.0,1425.0,611,210500000.0
0282,1997/08/12,743,245,1245.0,360.0,2122.0,886,196139000.0
0283,1997/08/15,940,128,806.0,204.0,1575.0,538,182008200.0
0284,1997/08/19,588,265,359.0,285.0,537.0,1028,196342000.0
0285,1997/08/22,760,208,730.0,263.0,1448.0,571,201449200.0
0286,1997/08/26,272,306,603.0,340.0,1059.0,802,220770400.0
0287,1997/08/29,925,573,1936.0,882.0,3252.0,1220,217796000.0
